Respondent_Serial,NPS2
63363,Becauase it could be a little better
63383,internet goes out all time
63466,quality and price of the service
63496,Bad Service
63497,BECAUSE THE COST KEEPS GOING UP WITH NO BETTER SERVICE
63515,Reliable service
63526,Good company but have had interruptions with service.
63592,In my area centurylink services are very limited. Phone service not entirely dependable. Internet speeds slow and not dependable
63626,
63639,there are often internet outages
63723,keep raising rates
63763,good
63771,poor service
63814,As good as any other provider.  Cox owns the franchise territory wher I live so there is really no other option.
63841,I like them most of the time but still have issues with service and rates every year.
63851,service
63913,bad customer service
63927,The only carrier I use
63959,"i do not like the one year promotion period and then you have to sign up again and they do not tell you when it ends. And when you call, they do not tell you about new promotions unless you tell them you will check out other companies."
63960,We have had no problems but know of others that have.
63963,All systems work well even in bad weather and they come fix anything quickly when called. Other cable systems go out in bad weather
64001,I haven't had any problems with them
64019,xheapeast rate
64025,
64064,
64072,
64121,We keep losing internet and it is very slow.
64138,I am pleased with the service but I feel their fees are too high
64198,customer service is a joke--it takes forever to get anything done--usually necessitating 2 or more calls. Been lied to several times.
64208,
64224,quality
64231,its kinda expensive
64263,they keep raising prices and have poor customer service
64371,they show the same movies over and over
64372,"Service is good, decent channel selection, but customer service when there's an issue isn't great and it's kind of expensive."
64382,I have had no issues with Time Warner yet.
64455,good reception
64467,"I wouldn't recommend them unless I was asked.  I am mostly satisfied with their service - dependability, speed, etc., however, the TV portion is far too expensive and if it weren't for my husband wanting to keep it, I would cancel it or at least drop it to just a few channels."
64486,
64503,
64519,terrible service
64521,good but internet is slow
64530,I like the phone service really not happy with direct tv
64555,"AT&T has great cellular phone service, but the customer service isn't always that awesome."
64639,the only provider for us
64650,never any problems with tv or phone sometimes with internet but they are always willing to help
64667,Past experience and longevity with Verizon FIOS.
64707,its confining
64716,Excellent customer service.
64732,"Television is good, channel selection is also good. Internet speeds and bandwidth, (unlimited,) are excellent. Telephone is very good."
65070,dont care for the internet service but it is the only available one in my area
65158,Costs are too high.
65169,Their TV programming isn't as good as other companies
65257,
65269,prices are high but good services
65279,
65305,Services and prices are pretty average
65316,Ok service. ok price.
65356,They have always been very helpful if I have a problem
65386,good
65414,They are a good and reliable service but somewhat pricey
65476,great service and no problems
65513,only one available around here
65550,reliable
65557,POOR CUSTOMER SERVICE
65569,it is good service at a reasonable price
65606,internet service with them is terrible.
65621,They are constantly changing my price. It is really low at first and the slowly around the six month mark it starts to go up. When I call and ask if they have any money savings offers for current customers they tell me they only have offers for new customers. That's not fair current customers should be rewarded too
65651,They have a monopoly in our service area and continually increase fees. They make it difficult to get quality services at an affordable price and their technology is outdated.
65659,great service
65695,most friends and family already have other providers
65759,
65803,Cost and rising prices all the time
65867,Friends do not live in same area and Frontier not available to them.
65871,there are holes in the service
65968,i have little choose in this area
65996,"mediocre internet speeds, expensive!, stupid/insulting pricing games where things get a lot cheaper if I call every 6 mos and threaten to cancel."
65997,
66000,
66067,No one else offers FIOS
66132,
66143,"Only one available for phone & internet, Dish thru Frontier only available also."
66184,They are a decent company.
66249,very good
66279,"land line service very good, internet worthless"
66301,I have a lot of trouble with my Phone! I'm ready to go 1005 wireless!
66302,It's not great but it's not awful either.
66315,
66316,They are one of the few available in our area - they are OK
66364,I do not recommend things like this
66394,good
66428,They have great service. I am informed when something is not right
66478,
66500,no other choice
66501,"Fairly reliable service, good customer service people when I've had a need to call"
66541,
66555,Excellent customer service!
66559,Its OK
66603,
66608,
66623,HAVE  GOOD  SERVICE
66630,
66646,price. switched from Comcast and saved about 100 bucks a month
66652,"Service has been good. Better than competition. When I need help, they provide good directions."
66661,goes out too often
66663,
66678,only landline phone co.
66702,"good service, reasonable price"
66703,
66704,
66708,they have done a very good job for us
66712,helpful
66745,"inconsistent service, unhelpful and uncaring customer service"
66746,price and ease of talking with a representative
66759,no problems but they are never in touch/communicating.
66800,
66811,don't know
66825,
66844,"I've never had a problem with them, and they're always very helpful an prompt when In have a problem"
66862,"Price, Communication, Flexibility"
66878,Its the only choice we have in my  rural area.
66879,Good response to problems
66902,RGEA GERAG ADRGADR GEARGA WT
66905,
66933,
66934,"Cost is way too high, but service is pretty consistent."
66935,very good
66944,good price and service
66946,They serve me well in all three areas.
66947,"I like the price, but charter has many problems in this area lately."
66948,ease of billing process.
66955,they give good service
66961,I have had no major complaints with it.
66987,
67017,Dissatisfied with the router they supplied and also are experiencing many outages.  The speed we have is less than 50 of what they say it is.
67025,Their outstanding customer service.
67028,"Poor customer service. Most calls are annoying robo calls, misdials (we have similar number as physicians office), and scam calls for credit cards, IRS, and microsoft server.  We will be getting rid of landline very soon, and will be glad."
67046,Service could be a bit better
67057,
67060,
67075,
67091,
67109,good company
67114,because you wanted one i am happy with them if i were not i wouldn't have them
67116,
67117,They have a good first year deal.  The price is great.
67124,
67131,n/a
67150,customer service
67151,"Their charge is really high for the service they offer in my area, plus they advertise prism TV but it isn't available in my area."
67157,They are mostly difficult to reach and many times associates answering phones are not well knowledged.
67172,the difficulty solving problems or speaking to someone in customer service since Cincinnati Bell has outsourced customer service to another country
67192,they have good service
67193,"different companies services are better for some than others, I recommend people do their own research."
67202,introduction prices
67205,I trust them to provide uninterrupted service and good customer support
67253,
67403,
67409,slow internet
67488,I liked having Directv better but chose Charter because of price. I am saving about $60 a month with Charter. It has a good selection of channels available.
67506,Truly awful customer service
67514,good service
67599,good service at fair price. nothing better at the moment.
67657,It's decent but not the best.
67674,good service
67719,
67751,
67778,Past experience.
67817,Great service and options for decent price
67919,Not happy with the channel packages they have to choose from.  Overpriced.
67943,"price is high, customer service is bad"
67965,It's the only landline option in our area
68085,Everything is bundled together but price is high
68122,dependable
68132,The service is top notch
68145,I think there service is good
68186,It's not a great enough deal to share.
68202,Have had trouble with customer service in the past.  The system cuts out for no reason several times a month.
68233,Good Company and have had very few problems
68240,"I'm very happy having Time Warner for all my in-home needs. Service is reliable, and customer service very helpful if there is a problem.  One bill makes it easy to know what I'm spending, and bundling saves money."
68245,
68256,
68262,They are just OK nothing special
68272,good reputation
68294,
68326,"they haven't been terrible, they have a traditional land line"
68332,"The service is good, the price is reasonable, they provide anti virus software and they have been responsive when I've had an issue"
68338,Love their customer service
68339,One department dosent know what the other is doing half the time.
68348,they are in my city
68354,
68356,Not the best tv reception.
68368,Good Service
68376,"Only have a land line due to in-home business, otherwise wouldn't have one. Expensive."
68380,
68384,High Cost
68410,good
68427,"The customer service, is terrible.   The need to take many pages out of the old tranning manuals that the Bell System used.
Most, who answer the phone, have no concept of the use of grammar, and politness."
68436,I just haven't had good service and rates with them.
68438,Past experience -- more than 5 years with Frontier.
68442,cox is a very good company but shows date back too long in some cases
68462,Good customer service.
68466,"I like the service, but the price keeps going up, so it's getting fairly expensive"
68471,
68477,"reliable, reasonably priced serve"
68481,I have had good service from them.
68484,good customer service
68490,don't like the service for the amount paid.
68497,"Difficulty getting things to work right (modems, boosters).  I don't like the guide, it doesn't give enough info."
68504,there good with there service but there internet can go down a lot
68519,I feel I pay a fair price for very reliable service.
68529,reasonable rates. very little downtime on outages
68540,locked in price and no long distance charges
68542,good variety of channels and good customer support
68543,Still unhappy about Cincinnati Bell abandoning wireless service!
68557,Internet is unreliable. Sometimes just OK and sometimes very slow. Much slower than I am paying for.
68560,reasonable rates and good service
68561,Because the offers can be competitive with others in the area
68564,
68571,"The phone service, internet service and customer service are all bad but it's the only option in a reasonable price range (other option is satellite).  Poor service, slow to respond to service calls, I know my neighbors have bribed the one repairman in our area to speed up their internet and it's all very shady."
68595,They have awful internet service.  The lines need to be upgraded and they got money for it but they are not doing it in our area.  There are too many people on our road that have internet now.
68597,Price
68609,"convenience, cable TV so you don't have to brush snow off a dish mounted high on the roof, phone is essentially free with bundle package, easy service if needed"
68634,
68635,Cox is a good service provider. I don't have complaints really. I rated them a 9 due to one negative customer service agent but as a whole our experience with them has been positive.
68640,"Horrible customer service, Inadequate internet speeds, but they are our only option where we live..."
68657,
68666,I am happy with Windstream.  They have an excellent Customer Service and Tech Help group.
68693,"The do well, not exceptional"
68695,
68706,Service is fairly reliable.
68708,It is getting too expensive
68715,reliable service
68764,good product and service for the money
68770,Very slow even when it's suppose to be high speed!
68831,Very expensive after the discount term
68841,Customer service is not very helpful.
68854,Price and service
68868,"Lack of ability to ""pick"" what we want.  Get SO many channels that are of NO interest.   Bundle prices to high, and if you try to ""un-bundle"" the cost is even higher.   Go figure !"
68888,Good service telephonewise and reasonably priced
68955,
68959,"Verizon is an okay service, but it could be better with it's customer service."
68961,Decent service
68963,
68964,great prices and customer service
68965,good
68967,Had an issue at first and only have the landline for work
68968,
68970,
68971,
68982,I have used AT&T for many years.
68986,"The cost of internet, phone and cable bundle"
68990,we get very good service with very few down times
68991,"Service has been o.k., not outstanding.  Very difficult to reach someone in Customer Service who can actually answer questions or assist."
68992,fair customer service and internet is slow and goes down quite frequently
68993,Comcast is terrible.
68997,
68998,
69003,no specific problems
69004,"customer service SUCKS, internet service and cable service SUCKS.  I have been complaining about my service for a year.  Switching out boxes and modems, with no resolution.  FINALLY, they sent a tech out and discovered that my lines to the house were filled with water and the wires were corroded.  The tech fixed them and told me to call Comcast to get a credit.  Coincidentally, they had no record of my calls.  I am leaving them ASAP!  THEY SUCK."
69005,"Good service, however prices continuously rise."
69007,Lack of cell phone service in our area
69008,there is no advantage to it and they are way over priced
69009,"I'm torn - have always considered comcast ""excellent"" until we bundled and moved our landline to comcast.  It is calling 911 in the middle of the night, cops coming to house.  Comcast is reviewing.  Otherwise have always thought highly of comcast."
69011,"overall I like the service. But I have trouble on occasion, when I have to unplug the DVR, so it can reboot. Their customer service is helpful."
69014,consistent service
69017,"too expensive, unreliable service"
69021,dvr is not as good as att
69022,because their internet service is so slow
69023,have been generally happy with the service offerings
69026,service expensive
69030,
69031,
69032,I have had a few issues with them. I like them better than DirecTV but many things have gone wrong this year.
69035,Good service but annoying telemarketing.
69043,"really dislike their TV service, but cell has a wide network."
69044,"We have lived at the same address for 2 and a half years. Out internet NEVER works on a consistent basis. Our cable goes out every time the wind blows. Then to top it off, every couple of months there's some new price hike for something....the latest are these digital boxes and they are no longer giving the same discount for Lifeline. We've had it and are currently researching internet with AT&T and going to axe the cable and use internet streaming and maybe a firestick."
69045,it works almost all the time
69047,customer service & cost each month
69048,
69049,"The service is okay, but is not always reliable.  The internet service seems to have connection issues at times."
69050,Cheaper and better than prior AT&T.
69053,Most reliable for streaming for Netflix.
69055,internet speeds are too slow
69056,
69057,"Fast internet, weather does not interfere with service, on demand service"
69059,"Telephone service price is way too high
Internet Price good - But internet speed and reliability are not"
69061,"it's expensive, but not horrible"
69062,prices are high and customer service is bad
69063,Don't care for the new DVR set up
69064,"I've had issues with Comcast in both pricing and service package, but they remain less expensive than competitors."
69066,"good customer service, fair pricing"
69069,
69073,I feel it is the best service available in my price range. I hardly ever have any problems with the service
69074,billing
69075,"Reliable, affordable service, fair pricing"
69076,"Many interruptions in internet service.
Poor quality in technical advice.
Am actively investigating other providers."
69079,Prices keep going up service is not any better
69081,"We have good service in our community (it was wired well, few outages) and generally good customer service via phone contact."
69083,"they just took over Verizon  and don""t have offices or people to speak to. very poorly planned!"
69084,I have had very good service & reception from them.
69085,Great Service and fast internet speed
69088,On demand
69089,
69090,phone service not the best.  prices keep rising
69091,
69097,Is a good value overalk. It realiable and very helpful
69098,They fix problems
69101,service is fine... too pricey
69103,Service
69112,they are a company and their policies and actions show that in all that they do and act. whether its over the phone or when you talk to customer service about anything from your bill to a technical problem to a personal problem that you want assistance with it is always very profesional and by the book situations. they have tried to be helpful when I talked to them once recently but it was still not what I would consider in any way a family or friend type of feeling that I got from the situation. I don't know what I would think of that could make a large company seem like a friend or family type of feeling as usually I only associate friend and family type of companies with much smaller privately owned companies that sell only a very limited and specific type of product or products such as bakeries or deli's or even small convenient type of stores. Big stores and companies just forget how to be personal and family like when they add a lot of employees that cover too much area and peopl
69114,great
69117,They raise the monthly fees exorbitantly every year and do it in a deceptive way.
69118,"Relatively good service, but the price could be better."
69120,Cost
69126,"Service is excellent, as is customer service."
69127,
69130,"Their product is good at times, but customer service and product quality has dipped a bit."
69131,"There customer service is lacking, and the contract that they lock you in I don't care for."
69133,
69141,Transition from Verizon has been unacceptable
69143,
69144,it is great
69147,
69148,very good customer service
69149,Xfinity is slow on my computer.  When I have a power outage it affects my home phone as well as my computer which is a real problem.
69152,Excellent products and good coverage in isolated NM
69157,I haven't really had many problems with them
69158,yhet are average
69159,easy
69161,no reason
69171,
69172,good
69175,Frontier just bought Verizon so I don't know what their service and customer service will be like.
69177,i dont think they are a good companty
69178,"My phone and internet are currently not working, and I don't have time to figure out what the problem is."
69181,Generally good service and fees
69189,Good service but a little expensive
69191,Long time Verizon user.
69192,i have had a reasonably good experience
69193,
69206,its solid
69214,We have periodic problems with our internet and television cable services
69216,It's good but service gets interrupted sometimes.
69220,
69221,
69223,it is the best priced for wireless phones
69224,
69230,
69237,Really way overpriced and internet isn't good
69238,I find they offer the best servoce for the best price
69243,Reception is not always clear.
69245,
69247,
69249,good service at reasonable price
69251,"We have had a lot of trouble with service over the years. It is the only choice available in our area. While we get good service most of the time, we have one problem that has been unresolved for months in spite of our reporting it. We don't generally go out of our way to make recommendations to others."
69254,"It's good, but I think they are a bit over priced."
69257,
69258,
69260,"good service, price, and quality"
69261,good service
69267,horrible service
69269,They are expensive and do not always offer up to date services
69271,
69273,I have had problems with rude customer service
69275,Ive had mostly positive experiences.  Kind of disturbed by the news lately where their employees are striking.
69280,I believe the cost is too high
69282,Do not have Direct TV but if I were considering adding a service I would add them through AT&T
69283,
69287,THEY ARE THE LEAST OF ALL EVILS IN OUR LOCAL AREA
69288,Have not had a problem with company
69290,Because we have had this company for 14 years and have had no problem at all.
69294,Good customer service.  Kinda high priced though.
69299,they are way to high and prices are ridiculous
69300,
69303,love the service
69304,Good dependable service
69307,Verizon offers the most dependable wireless service in my area.
69309,They are fine.  I don't recommend products to  friends.
69310,very impersonal company
69314,They have all I need at a great price for everything
69315,The price is high. I feel all television services are this way. I wish I could choose just the channels I watch. This may make it cheaper.
69317,bundling
69325,Customer service is awful
69330,love the company
69331,
69332,good service
69333,They have been very helpful when I've called for help
69337,I'm happy but feel I good get a better price by shopping around.
69339,service
69340,
69341,To costly for what you get and lots of extra equipment charges just to watch their TV services.
69343,High monthly charge
69347,"Service is good.  Without negotiation every year or two, cost of service would soar.  Too many ads for additional services that are not wanted."
69348,too costly
69349,they give me good service
69350,
69353,
69361,
69362,I don't have any strong feelings about the matter.
69364,"it is pretty good overall, but should cost less"
69372,Service has gotten to pricey.
69373,They are the best
69377,they have great service
69379,fsaf
69386,"AT&T is an established, well-known, popular provider of many services that you can bundle to get a discount."
69391,They are getting too high in price
69396,Good product with decent customer service.
69400,Costs too much
69403,always works
69404,Had prior problems with internet dropping many times during the day or night.
69409,Good customer service
69410,
69411,Most people know what they want or don't want
69415,Comcast is the only provider that I will use. now and in the future.
69425,
69429,
69431,
69434,Poor customer service
69437,"orks well , pricey"
69442,just because
69443,have not had any issues with Verizon and they were able to lower our bill.
69446,
69448,"It's never down like satellite, and doesn't cost like others"
69451,they're all there is
69457,
69460,Good service good reliability
69461,there a good reliable company that gives you good service with limited outages if they happen.
69475,"service problems every once and a while but other than that, they have been wonderful"
69476,"Friendly, helpful service representatives and relatively good service connection"
69480,
69485,nothing
69487,low payments
69494,"to expensive, customer service is horrible."
69496,
69498,internet connection is fast and telephone connection is crisp
69499,great services
69500,
69501,dependable
69506,never have any problem wit it
69513,They r great
69515,
69519,
69521,
69524,time warner provides good customer service and products
69527,no one  asked me
69529,price and quality
69537,I don't make recommendations
69541,"Frontier offers FiOS, but not quite in my area."
69543,"well known, dependability of wires"
69546,mostly the service is good but sometimes the dvr has to be reset - and I think they are WAY overpriced
69548,not sure
69552,it is a little expensive
69555,"reliable, no outages"
69557,They are good at bundling everything and their technical support is wonderful
69563,"Bad customer service, expensive with no alternate plans to consider."
69565,tooexpensive
69567,
69570,They lack customer service.
69575,Too expensive
69580,price increase every yr
69584,"Time Warner has made many positive changes to provide better customer service and it seems to be a positive change, so I would recommend them to others."
69588,customer service sucks
69591,Pricing is most competitive for my needs
69592,Good deals
69594,The internet is very slow
69596,happy with company
69606,Because they're too expensive and have poor customer service
69613,
69618,I don't think too much of it
69624,
69627,very good all
69629,
69635,good service and correct bill
69638,It's ok
69644,Experience.
69645,I've been with them for a long time and I liked it service
69654,It's the fastest and reliable service available !
69658,excellent customer service3
69660,Price and no yes network
69668,good service good quality picture
69671,Great service
69672,they could improve
69677,
69685,easy to control
69690,
69693,have had consistent service
69704,
69710,POSITIVE RELATIONSHIP OVER TIME
69712,
69717,They are too expensuve
69719,
69724,Too expensive
69728,loove the service
69729,outrageously overpriced
69731,i am satisfied with the service
69732,"high cost that keep rising, no promotions for long term customers.  Poor customer service when outages."
69736,"Not ever happy with most provider services. A middle rating is fair for all. Higher ratings would be considered if total bundling was an option in my area. At a fair constant pricing per year. Always seems to be a hiking in plan amount every month. Our retirement budget is at risk with the high pricing of technology and provider fees!  Thanks for asking, PKB"
69738,Cost is fairly high and we are unable to bundle with other services
69743,good service and is available when you need service
69746,"Our system works and when we have problems, UVerse is about to resolve the issues in a timely manner."
69751,They provide what I need
69752,I have no clue
69753,consistent service and good channels
69754,Good service
69755,"It's the only available network, so I feel they can charge anything they want."
69756,No troubles with connections...always on
69759,Great service and no problems
69760,I think the pricing is better on Fios than Comcast.
69762,Price
69763,"Over the years, Comcast XFinity has been reliable."
69764,Comcast cable is expensive.
69767,"I don't think the prices or service are great; I don't like having to have a land line to save money - it feels wasteful. The internet service fluctuates at certain times, which can be frustrating. But, overall, the service and pricing seem to be comparable with others."
69768,we get exceptional service
69770,Too expensive for what it offers
69772,Overall good service but too expensive
69774,Service mediocre at best
69780,cost is high
69782,Good rates and few problems.
69783,"What works for me may not be the solution for others. Honestly, I don't even remember hearing this question from my friends."
69784,"They had been quite good, but in the past year, customer service has deteriorated.
Their access to email when traveling is amateurish.
Internet speed is slow.
They must be having money problems because they are now charging for every little thing that used to be included in the purchase price."
69785,
69788,
69792,I do not recommend anything to anybody.
69795,"Consistent, reliable service at a marginally acceptable price"
69796,"Well, the DSL service I have works alright for me as it's just me.  But my friends and family have different needs, so the Verizon DSL isn't for them."
69797,I don't know what is best
69799,Not many issues
69800,"Charter has great packages on their channels and great speed on the internet.  But heaven forbid you have a problem.  We waited a week when our TV, Cable and phone all three went out for them to come and see what the problem.  This was with me calling them and telling them that we really needed it because our son has to use the internet at night for some work projects."
69803,"We are mostly satisfied with our Xfinity service, just not happy with the price."
69804,
69808,ok but expensive
69809,Good reliability and offerings but pricing is too high and hard to get reduced.
69811,
69812,just ok a little slow
69814,I have only been with Frontier since it acquired Verizon/FIOS for a short time and do not yet have any history with the company.
69815,"Poor service, use of third-party contractors, inaccurate information on billing, service outages"
69817,We always have problems with all three.
69824,
69827,"Does not always work, internet is slow even with buying the highest speed they have, asked them to fix it and told us to just stop using more than one device at a time and that should fix it."
69830,nothing works after change from verizon
69834,"fairly decent service, however their rates started out alright but now are expensive. they keep raising rates"
69835,too expensive
69838,internet drops off at least ten times a day
69839,good service
69840,
69841,"They are always there when we need help on the phone.  If it cannot be solved, they will send someone out within one day."
69842,The service is generally good although expensive
69843,Great service but HORRIBLE customer service
69845,Very rarely lose service.  We only keep it to keep our phone number in the phone book.   Otherwise we would bundle it with our TV and Internet.
69848,"bad service, raised fee without notice, unreasonable"
69849,Not had any problems
69851,"expensive, slow, and frquent problems"
69852,great service
69853,Don't recommend services to people.
69855,average performance and price
69858,
69861,"Never had any problems, great service, reliable internet and phone, nice employees."
69862,
69863,They charge way too much!
69864,I don't like how they do pricing and packages inconsistently
69868,Service is decent but cost is high.
69870,Have been a customer for over 12 years
69872,"good service so far, (only had it for 5 months)"
69873,good service
69875,idk
69879,rates are high
69886,price could be lower
69891,Good service
69893,only service out where i live
69894,"Frontier just began our service, so I have had no experience with the company"
69895,"I have had no problems with Time Warner, but I think after the ""introductory"" price the cost will be prohibitive"
69898,
69901,I like their service and the price is reasonable.
69905,Good quality service but the price keeps increasing
69906,
69908,Have not been using for long
69909,only available in my area
69913,
69926,The price is decent and it has everything you need. No problems so far but haven't had the service that long.
69928,Reliable internet but occasional cable box issues
69930,
69932,is good to have a bundle
69935,
69939,good service
69942,being bought out by frontier
69944,I would prefer another service company. Dealing with Cox is difficult.
69947,"good landline service, slow internet"
69948,good service
69952,havehad very little trouble
69953,No problems
69954,
69957,"Great service, not so much on price."
69958,
69963,reliability
69964,
69967,
69969,Too expensive
69970,reliability of servive    some free chanels   good prices and promotions
69979,"I think the service is a little high priced compared to others in the area, but it is the primary choice for landline phones, and the service has been mostly reliable for us."
69986,"TWC is sufficient for my situation. Some people prefer a satellite service. But if you would move next to me in my apartment, I would recommend TWC."
69990,not available
69999,"They are consistent, good customer service, good service but they need to make their bills easier to read and understand.  Also, I do not like that they keep increasing their charges every month."
70007,Sometime good and sometimes not.
70008,
70010,getting expensive
70011,"The track record, although satisfactory, is very short. If Frontier follows the previous owner's(ATT)style, my assessment would be much lower."
70014,
70018,
70019,My expearence
70021,customer service
70022,
70025,Thr service is excellent but too expensive
70026,
70029,Good service except too expensive
70032,hard to get service
70037,"Been with them for many years, very satisfied"
70039,service
70044,"Poor service, hight price"
70046,
70049,
70053,Only choice for 50 miles around.
70056,
70061,Great coverage and quality service.
70062,
70066,
70068,
70072,good customer service
70074,It is good but could improve.
70083,Botched takeover from Verizon
70086,I've never had a problem with this service
70089,too expensive
70091,same
70093,I don't recommend
70097,GOOD SERVICE
70099,
70102,
70103,about the same as other services
70108,the price
70109,
70110,good service
70115,slow internet
70118,cost
70120,good service and products at reasonable rates
70121,They are good at what they do.
70122,They do not fulfill their contracts for business service and they are too expensive for home use.
70126,Great customer service.
70128,always could be better
70130,It's user friendly andI like the format
70134,"I have had some issues with them recently, namely with my internet.  Service is poor."
70135,experience
70139,i have stock in verizon
70140,
70143,Good service
70147,
70155,the rate keeps going up
70158,cost
70164,it is delivering consistent service at a reasonable price
70165,
70168,
70169,Great service
70172,
70175,Charter meet all my needs at the moment
70176,no other companies in my area
70180,"experience with company, good customer service"
70190,service outages
70192,
70194,
70199,The monthly cost has significantly increased since we became customers (10+ years ago)
70202,Dependable service
70203,Poor service
70206,"I never proactively recommend anything to anyone.  However, if I'm asked specifically about a service, I'll respond accordingly."
70209,"The rates seem to increase and they only seem to run specials for new customers, but I have no complaints about the service."
70210,att has what I want
70212,
70213,Poor quality service and way overpriced.
70214,
70216,it is very expensive
70217,"Excellent service, would give a 10 except they're not available where some of my friends lve."
70218,"I don't like their pricing, but they are pretty reliable"
70219,
70224,too expensive
70233,I have no issues with the service
70234,
70237,I have had too many problems
70238,Prices have gone up tremendously in recent months.
70241,Great reception
70244,The internet stinks...slow
70245,I like the service we get from comcast over all very good but the price is a little high.
70247,They are not totally honest.
70249,we have had no problems with any of these services
70255,Service is adequate but expensive.
70262,high rates
70265,m very happy ith Comcast
70268,mediocre product
70271,
70272,price keeps going up and internet goes and phone goes out TOO much
70273,the prices charged are exorbitant and we are considering changing our service to a different provider
70275,customer service good improve
70276,I have good service but have billing problems with comcast every month
70282,
70287,
70289,I have been happy with the service.
70291,
70296,great service and good channels to pick from
70303,the product is good...the service is horrible
70307,Works well.
70311,Price
70313,
70322,convenient and fast service.  Can talk with live human.
70324,For the convenience and the service is pretty good
70330,
70342,
70343,Sometimes the upload times are very slow.
70352,problems with service
70353,they do an adequate job for a reasonable cost
70354,
70355,
70356,I am very happy with the quality of these products and the service we receive when needed. I don't like that there is no loyalty program for pricing-our bill goes up about every 3 months with nothing added and we have been with them for 15+ yrs. We call to get discounts but they expire in a few months and we have to start all over again. So I tell people the service and quality is great but the price will go up and up and up. . . .
70358,"Centurylink is known around here as the company of idiots. Just try to call them about a complaint, and it is such a hassle that no one should ever have to deal with. Incompetent employees who most cant even speak English, and dont have any clue about their products."
70360,good pricing fast service
70363,
70364,"Actually, I just visited today to request a reduction
on my bill.  My request was respected."
70369,Good service
70375,good service
70381,i don't like the tv part
70384,Great service all around!
70385,"Good user interface, finally getting better service after taking over from AT&T"
70386,Our service ahs been fantastic for over 20 years.  I did not give COMAST a 10 because customer service is not good.
70388,
70390,"too expensive, poor quality"
70393,good service with good customer service
70394,
70396,"It is generally ok, but we do experience outages and have had to have our router replaced twice within the past 6 weeks"
70398,i never recommend anything to anybody
70401,
70402,GOOD EXPERIENCE
70403,I have doubt and all of them
70404,I am basically pleased with their service.
70408,Keep raising prices.
70414,The internet service is inconsistent.
70415,
70416,keeps going up
70417,
70418,HGJGHJ
70422,Drop in service
70425,
70431,
70432,"billing errors monthly,  rate increases"
70433,
70436,beacuse i like it  alot of the time.
70439,They haven't failed us yet.
70440,I don't really like them. Their customer service is awful.
70443,have been relatively reliabnle
70444,
70453,"their fios is dependable, but it's too expensive and they strike too much"
70455,service has been good
70456,only landline available in our area.  good customer service. reliable internet service
70458,do not like direct tv
70459,price keeps going up for no more service
70461,"Telephone service isn't bad, but I regularly have issues with my internet (on a fiber optic line) that none of the customer service people seem to know how to handle or fix."
70463,
70464,great product and service
70465,they do okay
70467,
70470,It's the only cable company authorized to provide service in our apartment building.
70472,The service is reliable
70475,"Poor and inconsistent speed, poor service"
70481,Never had a problem and was always satisfied
70482,too expensive and direct tv is the worst
70488,i have been with at&t for years.  they have great customer service reps. they will work with you. their repair people always show up when they are suppose to. their website is user friendly
70493,
70499,they have fantastic customer service and the best internet around
70502,"do a good job, price is a bit high"
70503,They offer reliable and relevant service and they offer good customer service
70505,I like the speed of the internet.
70507,
70516,
70517,great service and lack of problems
70519,It is the only one I have ever known and I like it.
70525,Their prices are so high; their customer service is not good and there are a lot of outings
70530,
70535,
70537,
70540,
70542,fairly good speed for internet aor price
70543,I WISH WE COULD HAVE ROLLOVER AND/OR UNLIMITED DATA OPTIONS.
70544,
70546,"No outages or service interruptions, no dropped calls."
70551,
70553,Based on my experience
70555,the price
70563,have had a few problems   but not sure about other offers
70564,Good service
70565,
70568,"Consistently excellent, non-stop service.  When service personnel have been here for installations and upgrades, they have been uniformly punctual, highly skilled, extremely knowledgeable, neat, tidy, respectful of the customer's property and personable.  In 40 years of subscribing to cable service companies in many cities around the country, WOW is far and away the best cable provider I have ever encountered anywhere."
70569,Too expensive
70571,"So far we are at 3 strikes on service since they took over.  Cannot reach them on phone, internet either.  Although registered, could not access account.  Called and had 15 minute wait so left call back - or should I say tried.  Said I was not able to do so.  So I called service/tech number and they patched me through.  Then NEW packages don't fit our viewing preferences but they honor the Verizon contract on month to month.  But then I'll have to change providers to keep the channels we really like to watch.  And that's about it."
70574,happy
70575,we just took out our tv bundle with century link
70576,"good internet, phone and TV seem expensive"
70577,No problems
70583,work fine and reliable..no issues
70594,they are alright but overpriced
70595,
70600,
70606,Good but not perfect
70607,it's ok
70610,"Ive had no problem for yeas ,satisfied"
70611,They have great specials and wonderful customer service.
70620,
70621,
70623,not sure
70627,Just a good company that has provided really good service
70628,Their rates are high.
70638,Get a better price than comcast
70639,Good service
70640,
70649,price keeps going up
70650,
70676,Their customer service is horrendous.
70677,
70683,"I have been using AT&T for home telephone service for over 30 years, and have had major problems with either service or billing."
70685,
70687,technical support
70688,Because AT&T U-VERSE is on top and is number one in the industry.
70689,it fit my purpose
70694,Great roaming service
70696,
70697,nm
70698,
70699,I love Verizon I have been with them for 7 years and have never had any problems.
70702,
70715,price keeps changing
70716,Customer service issues
70718,"We do have problems from time to time.the biggest complaint is when the power goes out, we have no phone, no computer, no tv."
70722,Pricing and customer service
70728,"Works very well, fast and reliable"
70732,I have very few issues with Comcast and have no reason not to recommend them to anyone.
70736,
70740,The prices are way too high compared to what others are offering
70743,
70744,"I think Century Link is a very, very, good source for television and phone service."
