Respondent_Serial,NPS2
1129,constantly increasing costs!
1140,
1141,ethdfbx
1142,they offer good service
1148,
1149,
1151,
1155,Na
1158,"service is good, albeit a bit pricey"
1161,the have a decent price and fast speeds
1162,price
1164,They have great customer service but the speed of the internet is to low for the price.
1167,"They have treated us right, right from the beginning."
1170,I don't recommend businesses to friends or family
1174,
1175,They provide acceptable but not exceptional service.
1176,good
1186,"I think they do a good job with communication, servicing, and setting up both my internet and phone to meet my particular needs"
1187,Makes repairs timely. Friendly customer service.
1188,
1190,poor service at times for internet
1198,customer service and net work coverage are very good
1201,have gotten great service
1202,Their pricing is way too high
1206,Their service is excellent.
1207,excellent service
1209,have to keep upgrading to get better channels lower packages don't have alot with them
1211,
1212,
1214,
1215,
1216,Dependable service without interruptions
1221,reliability in all respects
1225,I haven  had any issues with this comapany and i have been with them for many years so i could tell others about my experience
1227,too expensive
1228,
1231,very unreliable service
1234,poor reliability
1235,
1236,We have the slowest speed offered by AT&T Uverse and we do not have an option to increase speed and it has been very inconvenient.
1237,
1238,price
1239,have had no problems or outages with verizon
1242,
1243,"i have not experienced any problems with them and their internet speed is fast. they are, however, somewhat expensive."
1247,Internet speed could be faster.
1249,
1250,
1251,Prices too high for services provided
1254,
1255,
1258,I'm happy with my service
1260,had them for over twenty years
1261,
1265,Nice
1267,we like the service just not the company
1269,price
1270,Was satisfied for many years now have questions about reliability of service
1272,Good company
1279,no problems with connection
1287,"They are super expensive and have the monopoly in this industry, take advantage of customers and don't reward them for being long time customers. they don't treat customers well, but they do have a good product, it is just very much overpriced"
1288,
1290,no problems
1292,"PRICE,SPEED"
1295,great service and no problems with any of the formats
1298,"same cost/product as other acceptable providers, great customer service"
1299,I like it
1301,
1304,
1306,highly reliable at a reasonable price.
1307,
1316,
1317,They are good on most of their services.
1318,
1322,"Poor internet line quality, high prices for long-time customers, no real choice but to pay, poor service."
1329,It works
1330,have no problems ----cheaper than other choice I have----great volume/channels
1332,They are best in my area for internet and telephone.
1340,jbjh
1341,I LIKE IT.
1343,Good service at a fair price.
1348,They are not perfect but they are good
1350,Cost is high
1352,
1354,extremely bad internet service
1358,they are thugs and greedy pigs
1359,nothing really wrong
1361,
1363,Set top cablebox lag
1364,like them a lot
1372,
1373,downloading movies is very slow at peak hours esp if you are using Amazon or Netflix
1375,
1378,slow service
1383,I was quoted a different price when I bundled than what I received.
1384,
1387,
1389,
1390,"it is getting more and more expensive, adding more things to the bundle than some of us seniors want."
1392,
1395,
1397,
1401,Only service provider that works where we live
1405,overall good experience
1407,It how I feel
1412,excellent service
1413,cost too much
1415,customer service people polite and helpful
1417,
1418,Never had a problem
1419,
1420,internet is not fast and cuts out a lot.
1422,could be less expensive
1431,quality of service is very good
1434,poor service
1438,
1448,Consistant performance helpful customer service.Relaible and professional.
1453,Fios is superior quality to all other providers in my area
1457,
1465,Very good for the most part but prices seem excessive
1466,"EXCELLENT SERVICE, MORE THAN ADEQUATE OPTIONS, SUPERIOR PRODUCTS, RELIABLE SERVICE, AND WAY ABOVE AVERAGE CUSTOMER SERVICE."
1469,
1474,Love paying one bill for 3 services
1479,
1483,Price
1485,
1486,I have had very good experiences with Comcast and they are always available when I need them
1489,
1491,never tried verizon so i could neither recommend or not recommend
1492,good service
1496,price
1497,customer service
1498,
1500,Works well
1510,
1518,rates aren't very reasonable
1520,good ccustomer servie
1526,I like the service it gives
1527,prices are too high
1530,They are reliable
1531,directv provides good service even though they are a little expensive
1537,its cool I like their services.
1538,all good. need to have this
1540,Always raising their rates
1542,embedded
1544,PRODUCT SERVICE IS POOR AND CUSTOMER SERVICE IS WORSE
1545,Right now I am satisfied with Frontier
1547,
1554,They have been a good provider
1556,
1557,
1558,I like a lot of the things offered but they still need to figure out a better way.
1560,I like watching my shows anywhere I am
1565,
1568,
1571,good dependable service at low cost
1572,Windstream is landline so internet does nor hickup as much
1574,they just increased their rates
1577,
1580,It is hard dealing with customer service sometimes.
1582,no problems
1584,Prices keep going up!!!
1589,"reliable att, but raises costs with no reward for loyalty"
1591,It works and is reasonably priced.
1594,
1599,
1603,
1606,Its quick
1611,Prices too high and it's not worth it.
1613,dependable service and good customer service
1615,
1617,generally reliable service with good internet response time.
1618,
1619,
1623,expensive and poor custermer service
1624,have had continuous great service for many years
1633,We have been w/ CX since 1977 when they were American Cable TV and the only game in town. They ahve never disappointed us and we've never had any other provider.
1635,vgyg
1636,have only good service from this company
1641,hidden fees
1644,I have been pretty pleased overall.
1646,"don't particularly like their prices, but don't have many options"
1650,good service
1652,I have enjoyed the service for the last few years but at first I did experience a few problems with the service.
1655,
1656,It is convenient and offers good exchange
1657,just good
1658,Better service than Time Warner by far
1665,
1670,Not happy with one company doing all my services
1673,
1676,sometimes their internet can be slower if a lot ofpeople are on it
1680,I like them.
1682,
1683,Great service but a bit too pricey
1684,
1689,Have not had any issues with CenturyLink
1692,like their service
1693,
1695,never had any problems
1697,thats how i feel  i gave them 8  itsd fair
1701,
1705,9 is a good rating   - and there is always room for improvement
1706,
1708,"Horrible customer service (outsourced), expensive products."
1710,
1711,
1712,Voice quality when it rains
1713,good
1714,good customer service- good products
1715,"Internet and telephone are fine, but TV is crappy and expensive"
1719,Never have a problem with them.
1722,they do not come thru with what they tell you
1726,"Good customer service, reliable connections, and pricing"
1731,
1734,
1735,
1737,like  but too pricy
1738,
1741,I've had some minor problems with them but nothing to get extremely concerned about.
1744,is very good.me like the chanel
1747,service
1752,some time it goes out
1753,good experience and good connection quality
1760,I have been with them for years
1763,good customer service
1766,"The speed they provide can't be matched. Their customer service is also MUCH better than the only other cable option in the area. Satellite isn't a viable option, in my opinion."
1767,general services and personal service
1768,"If the oppertunity cME UP, Like at Computer Club i would tell another member we have a bundle psckage  and that we like it.  It provides one bill instead of three.  We do not pay or bank on line and even what I refer to a purchases on the internet,  we use the phone # on the site."
1772,have it for 11 years...good customer service...competitive rates
1775,they need to have a bundle where I live
1780,been with at&t for years and i have never had any problems with there service.
1781,
1785,ITS NOT THAT CHEAP
1786,
1790,
1792,Good customer service and reasonable prices
1794,good service
1795,no problem with service
1796,Sometimes the price goes way up after your 2 yr agreement is over
1798,good service and good customer support
1799,
1803,excellent service
1806,No issues & ok price
1807,
1809,I don't have problems.
1810,"It's ok,but nothing special"
1811,the internet has problems often
1817,electronic items provided with the service have failed. interruption of service. service cost keeps going up
1818,ok
1821,slow speeds and service interruptions combined with a high price
1822,
1827,Not sure
1832,excellent service
1834,the service is good and we are happy with how we are treated
1837,I have been with directv for many years and never had a problem
1841,
1845,
1846,
1848,expensive
1854,good customer service
1856,
1857,they're great
1862,too expensive and U-Verse has too many service interruptions--also bundle info misled me as it does not include mobile phones.
1866,"Not the best customer service, not the best technical support and there are more interruptions on internet and/or telephone service than I care to have."
1867,"good, but not great"
1868,"I don't make financial, healthcare or technology recommendations."
1869,
1870,it works no outages
1871,
1875,that is just the way i feel
1876,"very few outages, good qaulity"
1878,They have poor service
1883,Ilet them make up there own minds
1891,
1893,like
1896,cost
1899,"they offer the best price, and fastest speed"
1902,They aren't a very good company and it is sometimes hard to contact them.
1903,"Fast, reliable service with minimal issues; rare support calls were serviced in a timely manner."
1905,have enjoyed it
1906,Good service
1908,its good and excellent
1909,no outages
1911,GREAT COMPANY
1922,
1923,there pricing keeps going up. I am paying almost $60 more than when I contracted with them
1928,Having connection problems
1930,good
1931,"It is the best when you have the internet, television and telephone."
1932,good service but keeps raising prices
1933,they have been good to me
1938,Excellent long distance service
1950,
1959,good service and way better than TW
1965,
1966,TV service is good but internet is unreliable
1967,I have had good service
1968,
1969,Services are too expensive.
1975,
1977,"I like the service we receive for the internet and television, but when they go out so does the phone service. That means we are without a way to contact someone. You have to have a cell phone in emergencies because you can't rely on Charter's phone service."
1978,Customer service and dependability.
1982,offer
1987,I have had no trouble with them.
1991,
1992,they charge too much
1998,"good service, good customer service and reasonable prices"
2002,
2004,"Love the services when they work, Can't always rely on them. Intermittent outages."
2008,Better than the other provider
2010,bad customer service
2012,they are the worst when it comes to tv - lies but for phone att is the best
2020,price
2033,I have no problems with their service
2036,
2037,I do not talk about this
2038,I have subscribed to AT&T for a very long time.  I am also a retiree from the company.
2041,works well
2042,
2045,
2047,We have used them for 40 years and their service is reliable
2052,
2056,
2062,
2063,have a lot of problems with television and internet
2072,it works
2075,is trustworthy company
2079,
2086,
2088,good service
2090,
2091,Their customer service is abhorrent.
2092,"They're good, but expensive and they sneak in bill hikes, so watch your monthly bill."
2096,
2097,good service a little to high
2099,
2100,DVR is outdated.  Hard to contact customer service.
2101,customer service
2102,They mostly do well.
2107,good service
2125,
2131,
2132,
2134,provides excellent service
2135,"i love verizon, is one service very good"
2136,Cost too much
2141,Bad customer service and billing errors
2142,It has good service but I think it is expensive.
2144,"they have good service and reliable and good quality, but the price is bit higher for us."
2145,good service
2152,
2154,Rates are two high and service is spotty
2156,
2157,reliable service
2170,been with them since the beginning
2174,
2175,been with Comcast for 25 years
2179,never get a real person for repair help
2182,good company
2187,"I like it, but  it's too expensive."
2190,
2191,
2192,no hassles
2193,Its OK but some of the time my internet has slow access.
2197,never had a problem with them in the 20 years I have been using them
2201,HAVE HAD GOOD SEERICE
2208,I think they are great.
2211,ilike brighthouse
2212,"for the service they provide,and plus for the fast internet they provide."
2214,
2215,high quality service
2219,"We have NO problems with our internet, home phone nor my husband's cell phone."
2221,"CENTURY IS ALL THERE IS HERE, THEY NEED SOME COMPETITION!"
2222,"lousy TV channel lineup for $$$; lack of choice in plans/bundles; customer service indifferent at best and horrible at worst -- and I've experienced both extremes; won't allow customer to do certain key things online (some services only allowed to NEW customers, not current ones)"
2223,
2224,
2230,
2232,"I like the service, but price is high"
2237,They are a bit pricey
2238,
2240,
2241,The channels we get for the price and picture quality. Also the dvr capabilities are fantastic.
2243,I a quite happy with verison service had no problems with them
2244,it's okay service but the prices are ridiculous
2246,
2247,suypport is greatprices are very competitive
2249,I USE IT im satsified
2255,
2256,I think I am stuck because no choice and too hard to switch
2261,"I like the quality of service, but I've had problems with the billing department"
2263,
2264,
2266,Too expensive
2270,It's a good solid company that I have been associated with for years!
2271,price
2275,We are satisfied with the quality of service but do not like the frequent rate increases.
2276,"I like Comcast, I think there prices are a bit high. I rarely have service interruption, ease of use"
2277,vhjffkjvknfk urfvhuhjfe
2278,
2279,they have good service
2281,cost
2283,Good service
2284,should drop the extra charges for some of it's services
2291,The price for Internet access is overpriced
2294,Direct TV used to be great. Now that AT&T is involved the service is terrible
